nome_vitigno,colore,descrizione,id_vitigno
Chardonnay,Bianco,"Vitigno internazionale, vini eleganti",1
Syrah,Rosso,"Vitigno internazionale, vini strutturati",2
Nero d'Avola,Rosso,Vitigno autoctono siciliano,3
Grillo,Bianco,Vitigno autoctono siciliano,4
Sauvignon Blanc,Bianco,Vitigno internazionale aromatico,5
Vermentino,Bianco,Vitigno mediterraneo,6
Viognier,Bianco,Vitigno francese aromatico,7
Merlot,Rosso,Vitigno internazionale morbido,8
Grecanico,Bianco,Vitigno autoctono siciliano,9
Fiano,Bianco,Vitigno autoctono del sud Italia,10
Catarratto,Bianco,Vitigno autoctono siciliano,11
Alicante,Rosso,Vitigno spagnolo,12
Chenin Blanc,Bianco,Vitigno francese versatile,13
